Uniprot,Gene description,Organ,GO
Q8WW32,High mobility group box 4,Testis,GO:0005694;GO:0005634;GO:0008301;GO:0006357
P0DPH9,Chromosome X open reading frame 51B,Testis,
Q5T871,Late cornified envelope like proline rich 1,Testis,
P09430,Transition protein 1,Testis,GO:0001673;GO:0000786;GO:0005634;GO:0003677;GO:0006338;GO:0030317;GO:0031507;GO:0045892;GO:0006337;GO:0010954;GO:0019953;GO:0000012;GO:0035092;GO:0035041;GO:0007286;GO:0007289;GO:0007290
Q96J77,TPD52 like 3,Testis,GO:0005737
Q9BZQ2,SHC binding and spindle associated 1 like,Testis,GO:0005737;GO:0072687;GO:0030154;GO:0007112;GO:2001252;GO:0007283
Q8TDY3,Actin related protein T2,Testis,GO:0005737;GO:0005856
Q53SZ7,Proline rich 30,Testis,
Q9Y614,Actin like 7B,Testis,GO:0015629;GO:0005737;GO:0005634;GO:0005200
P04553,Protamine 1,Testis,GO:0005829;GO:0005654;GO:0000786;GO:0003677;GO:0030261;GO:0051276;GO:0035092;GO:0007283
Q8TC94,Actin like 9,Testis,GO:0001669;GO:0005884;GO:0030424;GO:0005737;GO:0016020;GO:0035267;GO:0033011;GO:0061827;GO:0045202;GO:0019901;GO:0098973;GO:0001675;GO:0007409;GO:0048870;GO:0009566;GO:0007338
Q12798,Centrin 1,Testis,GO:0005814;GO:0005813;GO:0005829;GO:0005634;GO:0032391;GO:0000922;GO:0005509;GO:0031683;GO:0032795;GO:0008017;GO:0051301;GO:0034605;GO:0007099;GO:0000226
P04554,Protamine 2,Testis,GO:0001673;GO:0005654;GO:0000786;GO:0005634;GO:0046870;GO:0003677;GO:0008270;GO:0030261;GO:0051276;GO:0006997;GO:0051238;GO:0007286;GO:0007283
Q6NSX1,Coiled-coil domain containing 70,Testis,GO:0005886
Q9Y615,Actin like 7A,Testis,GO:0001669;GO:0005737;GO:0005856;GO:0005794;GO:0001673;GO:0031514;GO:0005634;GO:0032991;GO:0005200;GO:0001675;GO:0009566;GO:0007338;GO:0007286
Q9BQM9,Chromosome 20 open reading frame 144,Testis,
Q5JQC9,A-kinase anchoring protein 4,Testis,GO:0005952;GO:0005737;GO:0005856;GO:0031514;GO:0005634;GO:0048471;GO:0097229;GO:0035686;GO:0036126;GO:0120212;GO:0097225;GO:0097228;GO:0030018;GO:0051018;GO:0007178;GO:0051649;GO:0045184;GO:0030317;GO:0008104;GO:0007165;GO:0007338;GO:0120316;GO:0007283
A8MTL0,IQ motif containing F5,Testis,GO:0005516
Q8IYS8,Biorientation of chromosomes in cell division 1 like 2,Testis,GO:0005813;GO:0005737;GO:0000776;GO:0051301
Q53QW1,Testis expressed 44,Testis,GO:0005737
Q14410,Glycerol kinase 2,Testis,GO:0070062;GO:0005741;GO:0005739;GO:0097225;GO:0097226;GO:0005524;GO:0004370;GO:0030317;GO:0019563;GO:0006071;GO:0046167;GO:0120317;GO:0007283;GO:0006641
Q2KHN1,Ring finger protein 151,Testis,GO:0005737;GO:0005634;GO:0061630;GO:0008270;GO:0030154;GO:0016567;GO:0007283
A0A087WWA1,PIK3R3 upstream open reading frame,Testis,GO:0019221
Q7Z6W1,Transmembrane and coiled-coil domains 2,Testis,GO:0016020;GO:0005634
Q6NXR0,Immunity related GTPase cinema,Testis,GO:0005811;GO:0016020;GO:0036126;GO:0097226;GO:0005525;GO:0003924;GO:1990606;GO:1902093
Q96LM6,Testis expressed 37,Testis,GO:0160111;GO:0005737;GO:0005829;GO:0005634;GO:0036126;GO:0030317
Q8N4N8,Kinesin family member 2B,Testis,GO:0005813;GO:0005737;GO:0005829;GO:0045171;GO:0005871;GO:0000776;GO:0005874;GO:0015630;GO:0072686;GO:0005730;GO:0005819;GO:0005524;GO:0016887;GO:0008017;GO:0003777;GO:0051301;GO:0051310;GO:0007019;GO:0007018;GO:0051983
P0DPH7,Tubulin alpha 3c,Testis,GO:0005737;GO:0005874;GO:0015630;GO:0005634;GO:0005525;GO:0016787;GO:0046872;GO:0005200;GO:0000226;GO:0000278
Q7Z4W2,Lysozyme like 2,Testis,GO:0005576;GO:0003796
O43247,Testis expressed 33,Testis,GO:0001669;GO:0036126
Q8N6M8,IQ motif containing F1,Testis,GO:0001669;GO:0005516;GO:2000344;GO:0060474
Q96LZ3,"Protein phosphatase 3 regulatory subunit B, beta",Testis,GO:0005955;GO:0005829;GO:0005739;GO:0008287;GO:0097226;GO:0005509;GO:0008597;GO:0019902;GO:0097720;GO:1905949;GO:0007341;GO:0070886;GO:1905665
Q9H347,Ubiquilin 3,Testis,GO:0005829;GO:0031593;GO:0033554;GO:0061136;GO:0006511
P29803,Pyruvate dehydrogenase E1 subunit alpha 2,Testis,GO:0005759;GO:0005739;GO:0005730;GO:0005634;GO:0045254;GO:0046872;GO:0004739;GO:0034604;GO:0006086;GO:0006006;GO:0006090;GO:0006099
O14598,Variable charge Y-linked,Testis,GO:0007420
P49901,Sperm mitochondria associated cysteine rich protein,Testis,GO:0005737;GO:0031966;GO:0005739;GO:0030317;GO:0007341
Q9BXB7,Spermatogenesis associated 16,Testis,GO:0001669;GO:0005794;GO:0007286;GO:0007283
Q0P670,SPEM family member 2,Testis,GO:0016020
Q9UJQ7,SCP2 sterol binding domain containing 1,Testis,GO:0005829
A0A1B0GUW6,SPEM family member 3,Testis,GO:0005737;GO:0016020;GO:0030317;GO:0007291
