Uniprot,Gene description,Organ,GO
Q13103,Secreted phosphoprotein 2,Liver,GO:0062023;GO:0005788;GO:0005576;GO:0031089;GO:0004866;GO:0046849;GO:0001501
P02765,Alpha 2-HS glycoprotein,Liver,GO:0072562;GO:0062023;GO:0005788;GO:0070062;GO:0031012;GO:0005576;GO:0005615;GO:0005794;GO:0031093;GO:0034774;GO:0004869;GO:0004866;GO:0019210;GO:0006953;GO:0030502;GO:0046627;GO:0001503;GO:0006907;GO:0050766;GO:0030500;GO:0050727;GO:0001501
P36980,Complement factor H related 2,Liver,GO:0005576;GO:0005615;GO:0032991;GO:0001851;GO:0042802;GO:0006956;GO:0051838;GO:0032091
P11226,Mannose binding lectin 2,Liver,GO:0009986;GO:0005581;GO:0009897;GO:0005576;GO:0005615;GO:0005771;GO:1905370;GO:0048306;GO:0005537;GO:0042802;GO:0005102;GO:0006953;GO:0140374;GO:0002752;GO:0006958;GO:0001867;GO:0042742;GO:0050830;GO:0045087;GO:0051873;GO:0048525;GO:0008228;GO:1903028;GO:0050766;GO:0006508;GO:0006979;GO:0043129
P00740,Coagulation factor IX,Liver,GO:0062023;GO:0005788;GO:0070062;GO:0005576;GO:0005615;GO:0005796;GO:0005886;GO:0005509;GO:0004175;GO:0046872;GO:0004252;GO:0007596;GO:0006508;GO:0031638
Q9BXR6,Complement factor H related 5,Liver,GO:0005576;GO:0005615;GO:0032991;GO:0001851;GO:0042802;GO:0046982;GO:0006956;GO:0006957;GO:0051838;GO:0032091
P04217,Alpha-1-B glycoprotein,Liver,GO:0072562;GO:0062023;GO:0070062;GO:0005576;GO:0005615;GO:1904813;GO:0005886;GO:0031093;GO:0034774;GO:0002764
P01008,Serpin family C member 1,Liver,GO:0072562;GO:0062023;GO:0005788;GO:0070062;GO:0005576;GO:0005615;GO:0005886;GO:0008201;GO:0042802;GO:0002020;GO:0004867;GO:0007596;GO:0030193
P02652,Apolipoprotein A2,Liver,GO:0072562;GO:0042627;GO:0005829;GO:0005769;GO:0005788;GO:0070062;GO:0005576;GO:0005615;GO:0034364;GO:0034366;GO:0034361;GO:0034190;GO:0015485;GO:0120020;GO:0019899;GO:0031072;GO:0008035;GO:0070653;GO:0055102;GO:0008289;GO:0005319;GO:0031210;GO:0060228;GO:0005543;GO:0046982;GO:0042803;GO:0048018;GO:0005102;GO:0031100;GO:0071402;GO:0033344;GO:0042632;GO:0008203;GO:0030301;GO:0046340;GO:0034380;GO:0034384;GO:0034375;GO:0042157;GO:0034374;GO:0060621;GO:0032375;GO:0060695;GO:0002719;GO:0060192;GO:0050995;GO:0010903;GO:0018206;GO:0006656;GO:0009395;GO:0033700;GO:1905920;GO:0032757;GO:0050996;GO:0050766;GO:0018158;GO:0050821;GO:0030300;GO:0031647;GO:0043627;GO:0051384;GO:0009749;GO:0009410;GO:0043691;GO:0006641;GO:0034370
P00734,"Coagulation factor II, thrombin",Liver,GO:0072562;GO:0062023;GO:0005788;GO:0070062;GO:0005576;GO:0005615;GO:0005796;GO:0005886;GO:0005509;GO:0008083;GO:0008201;GO:0001530;GO:0048018;GO:0004252;GO:0005102;GO:0070053;GO:0006953;GO:0061844;GO:0007596;GO:0007166;GO:0051838;GO:0042730;GO:1990806;GO:0048712;GO:0030195;GO:1900016;GO:0051918;GO:0010544;GO:0045861;GO:0070945;GO:0030168;GO:0030194;GO:0030307;GO:0008284;GO:0032967;GO:0032024;GO:0051897;GO:1900738;GO:1900182;GO:0001934;GO:2000379;GO:0046427;GO:0051281;GO:0006508;GO:0030193;GO:0008360;GO:0051480;GO:0009611;GO:0070493
Q08AH3,Acyl-CoA synthetase medium chain family member 2A,Liver,GO:0005759;GO:0005739;GO:0005524;GO:0018858;GO:0102391;GO:0015645;GO:0004321;GO:0031956;GO:0046872;GO:0006637;GO:0006633;GO:0042593;GO:0036112;GO:0070328
Q14973,Solute carrier family 10 member 1,Liver,GO:0016323;GO:0005886;GO:0015125;GO:0008508;GO:0001618;GO:0015721;GO:0071466;GO:0043627;GO:0045471;GO:0031667;GO:0014070
Q02985,Complement factor H related 3,Liver,GO:0072562;GO:0070062;GO:0005615;GO:0001851;GO:0006956
P02790,Hemopexin,Liver,GO:0072562;GO:0062023;GO:0071682;GO:0070062;GO:0005576;GO:0005615;GO:0015232;GO:0046872;GO:0042168;GO:0015886;GO:0020027;GO:0006879;GO:0002925;GO:0002639;GO:0060335;GO:0051246;GO:0060333
P19827,Inter-alpha-trypsin inhibitor heavy chain 1,Liver,GO:0072562;GO:0062023;GO:0070062;GO:0005576;GO:0005509;GO:0030246;GO:0005540;GO:0004867;GO:0030212
P05543,Serpin family A member 7,Liver,GO:0070062;GO:0005576;GO:0005615;GO:0004867;GO:0070327
Q9Y6L6,Solute carrier organic anion transporter family member 1B1,Liver,GO:0009925;GO:0016323;GO:0016020;GO:0005886;GO:0015125;GO:0008514;GO:0015132;GO:0015347;GO:0015349;GO:0015721;GO:0042167;GO:0006811;GO:0015711;GO:0043252;GO:0006805
Q9UJM8,Hydroxyacid oxidase 1,Liver,GO:0005829;GO:0043231;GO:0005782;GO:0003973;GO:0010181;GO:0047969;GO:0001561;GO:0006545;GO:0046296;GO:0006979
P02749,Apolipoprotein H,Liver,GO:0009986;GO:0042627;GO:0062023;GO:0070062;GO:0005576;GO:0005615;GO:0034364;GO:0031089;GO:0034361;GO:0008201;GO:0042802;GO:0008289;GO:0060230;GO:0005543;GO:0007597;GO:0016525;GO:0030195;GO:0010596;GO:0001937;GO:0051918;GO:0033033;GO:0034392;GO:0031639;GO:0030194;GO:0051006;GO:0051917;GO:0006641;GO:0034197
P19823,Inter-alpha-trypsin inhibitor heavy chain 2,Liver,GO:0072562;GO:0062023;GO:0005788;GO:0070062;GO:0005576;GO:0004866;GO:0005540;GO:0004867;GO:0030212
Q92496,Complement factor H related 4,Liver,GO:0005576;GO:0005615;GO:0001851;GO:0005319;GO:0006956
P55056,Apolipoprotein C4,Liver,GO:0005576;GO:0034364;GO:0034361;GO:0005319;GO:0006629;GO:0010890;GO:0070328
Q96N76,Urocanate hydratase 1,Liver,GO:0005829;GO:0016153;GO:0006548;GO:0019556;GO:0019557
P02671,Fibrinogen alpha chain,Liver,GO:0072562;GO:0009986;GO:0062023;GO:0005783;GO:0005788;GO:0009897;GO:0070062;GO:0005576;GO:0005615;GO:1903561;GO:0005577;GO:0005886;GO:0031091;GO:0031093;GO:0005201;GO:0046872;GO:0030674;GO:0005102;GO:0005198;GO:0002250;GO:0072377;GO:0072378;GO:0007160;GO:0042730;GO:0043152;GO:0045087;GO:2000352;GO:1902042;GO:0031639;GO:0070527;GO:0070374;GO:0045921;GO:0034116;GO:0090277;GO:0050714;GO:1900026;GO:0045907;GO:0051258;GO:0065003;GO:0051592
O15245,Solute carrier family 22 member 1,Liver,GO:0016324;GO:0009925;GO:0016323;GO:0016328;GO:0016020;GO:0005886;GO:0098793;GO:1901235;GO:0005277;GO:0005330;GO:0042802;GO:0008504;GO:0005326;GO:0005334;GO:0008514;GO:0015101;GO:0015132;GO:0015489;GO:0015214;GO:0015651;GO:0015606;GO:0015234;GO:0019534;GO:0042910;GO:0015870;GO:1902616;GO:1990748;GO:0015872;GO:0090494;GO:0048241;GO:0010248;GO:0072237;GO:0015844;GO:0006836;GO:0015874;GO:0015695;GO:0015732;GO:0072530;GO:0015847;GO:0015697;GO:0006837;GO:0051610;GO:0015848;GO:0071934;GO:0015888;GO:0150104;GO:0006805;GO:0042908;GO:1990962
P02675,Fibrinogen beta chain,Liver,GO:0072562;GO:0005938;GO:0009986;GO:0062023;GO:0005783;GO:0009897;GO:0070062;GO:0005576;GO:0005615;GO:1903561;GO:0005577;GO:0005886;GO:0031091;GO:0031093;GO:0045202;GO:0005201;GO:0051087;GO:0005102;GO:0005198;GO:0002250;GO:0072378;GO:0007160;GO:0071347;GO:0044320;GO:0042730;GO:0043152;GO:0045087;GO:2000352;GO:1902042;GO:0031639;GO:0070527;GO:0070374;GO:0045921;GO:0034116;GO:0090277;GO:0050714;GO:1900026;GO:0045907;GO:0051258;GO:0065003;GO:0051592
O60656,UDP glucuronosyltransferase family 1 member A9,Liver,GO:0005783;GO:0005789;GO:0019899;GO:0004857;GO:0015020;GO:0042802;GO:0046982;GO:0042803;GO:0001972;GO:0052695;GO:0051552;GO:0052696;GO:0001889;GO:2001030;GO:0045922;GO:0042573;GO:0052697;GO:0006805
P05177,Cytochrome P450 family 1 subfamily A member 2,Liver,GO:0005789;GO:0043231;GO:0034875;GO:0032451;GO:0009055;GO:0019899;GO:0101020;GO:0101021;GO:0020037;GO:0106256;GO:0005506;GO:0004497;GO:0016491;GO:0016712;GO:0046222;GO:0009820;GO:0045333;GO:0071276;GO:0008203;GO:0018894;GO:0019373;GO:0008210;GO:0050665;GO:0042759;GO:0030324;GO:0032259;GO:0032787;GO:0016098;GO:0097267;GO:0070989;GO:0006778;GO:0009791;GO:0010468;GO:0042572;GO:0006706;GO:0009403;GO:0042178;GO:0006805
P10632,Cytochrome P450 family 2 subfamily C member 8,Liver,GO:0005737;GO:0005789;GO:0043231;GO:0005886;GO:0008392;GO:0034875;GO:0101020;GO:0020037;GO:0005506;GO:0004497;GO:0016712;GO:0008401;GO:0019373;GO:0008210;GO:0046456;GO:0002933;GO:0042759;GO:0097267;GO:0006082;GO:0070989;GO:0042573;GO:0042572;GO:0008202;GO:0042178;GO:0006805
Q6Q0C1,Solute carrier family 25 member 47,Liver,GO:0005743;GO:0005741;GO:0005739;GO:0008521;GO:0051724;GO:0022857
Q13790,Apolipoprotein F,Liver,GO:0005615;GO:0034364;GO:0034362;GO:0015485;GO:0005319;GO:0005102;GO:0008203;GO:0006629;GO:0006869
Q02928,Cytochrome P450 family 4 subfamily A member 11,Liver,GO:0016324;GO:0005737;GO:0005789;GO:0043231;GO:0018685;GO:0008392;GO:0008391;GO:0052869;GO:0020037;GO:0005506;GO:0050051;GO:0102033;GO:0004497;GO:0019369;GO:0019373;GO:0006631;GO:0046456;GO:0001822;GO:0048252;GO:0006691;GO:0043651;GO:0001676;GO:0097267;GO:0031408;GO:0032305;GO:0003095;GO:0003091;GO:0055078
Q68CK6,Acyl-CoA synthetase medium chain family member 2B,Liver,GO:0005759;GO:0005739;GO:0005524;GO:0018858;GO:0016405;GO:0102391;GO:0015645;GO:0004321;GO:0046872;GO:0006637;GO:0006633;GO:0006805
P02679,Fibrinogen gamma chain,Liver,GO:0072562;GO:0009986;GO:0062023;GO:0005788;GO:0009897;GO:0070062;GO:0005576;GO:0005615;GO:0005577;GO:0005886;GO:0031091;GO:0031093;GO:0050839;GO:0005201;GO:0042802;GO:0046872;GO:0005102;GO:0005198;GO:0072378;GO:0007160;GO:0071347;GO:0071354;GO:0042730;GO:2000352;GO:1902042;GO:0031639;GO:0070527;GO:0036345;GO:0070374;GO:0045921;GO:0034116;GO:0090277;GO:0050714;GO:1900026;GO:0045907;GO:0051258;GO:0009306;GO:0065003;GO:0051592
P21549,Alanine--glyoxylate aminotransferase,Liver,GO:0005829;GO:0043231;GO:0005782;GO:0005777;GO:0008453;GO:0016597;GO:0042802;GO:0004760;GO:0042803;GO:0030170;GO:0008483;GO:0019265;GO:0009436;GO:0046487;GO:0042853;GO:0019448;GO:0006563;GO:0007219;GO:0046724
P00748,Coagulation factor XII,Liver,GO:0062023;GO:0070062;GO:0005576;GO:0005615;GO:0005886;GO:0005791;GO:0005509;GO:0051787;GO:0004252;GO:0007596;GO:0007597;GO:0002542;GO:0042730;GO:0045087;GO:0002353;GO:0030194;GO:0051919;GO:0010756;GO:0016540;GO:0016485;GO:0051788;GO:0031638
