Uniprot,Gene description,Organ,GO
O43612,Hypocretin neuropeptide precursor,Brain,GO:0005576;GO:0099013;GO:0048471;GO:0098794;GO:0005791;GO:0008021;GO:0005184;GO:0031771;GO:0031772;GO:0007268;GO:0042755;GO:0060079;GO:0008156;GO:0043267;GO:0051970;GO:0007218;GO:0007200;GO:0051928;GO:0120162;GO:0007204;GO:0051971;GO:0046928;GO:0097305;GO:0042594;GO:0030431;GO:0001659
P01185,Arginine vasopressin,Brain,GO:0030669;GO:0005829;GO:0030425;GO:0005576;GO:0005615;GO:0098992;GO:0030141;GO:0043027;GO:0005185;GO:0005184;GO:0004672;GO:0005102;GO:0031894;GO:0031895;GO:0007267;GO:0006091;GO:0007625;GO:0035556;GO:0007626;GO:0002125;GO:0042711;GO:0050891;GO:0043066;GO:0007621;GO:0051970;GO:0030307;GO:0008284;GO:0032849;GO:0007204;GO:0010628;GO:0014049;GO:0031394;GO:0003084;GO:0045907;GO:0045471;GO:0035094;GO:0033574;GO:0007165;GO:0035176;GO:0046718;GO:0042310;GO:0006833
P20382,Pro-melanin concentrating hormone,Brain,GO:0005576;GO:0005634;GO:0045202;GO:0030354;GO:0031777;GO:0030154;GO:0007268;GO:0007631;GO:0032227;GO:0007218;GO:0007283
Q14833,Glutamate metabotropic receptor 4,Brain,GO:0031410;GO:0005886;GO:0098793;GO:0001640;GO:0004930;GO:0008066;GO:0007196;GO:0007268;GO:0007216;GO:0007269;GO:0043410;GO:0043523;GO:0051966
Q9BZE3,BarH like homeobox 1,Brain,GO:0000785;GO:0005634;GO:0001228;GO:0000981;GO:0000977;GO:1990837;GO:0030901;GO:1905586;GO:0001764;GO:1905584;GO:0006357;GO:0007605
Q16445,Gamma-aminobutyric acid type A receptor subunit alpha6,Brain,GO:0099192;GO:0034707;GO:0032590;GO:1902711;GO:0043005;GO:0005886;GO:0098794;GO:0099634;GO:0045202;GO:1902495;GO:0008503;GO:0004890;GO:0022851;GO:1904315;GO:1902476;GO:0007214;GO:1904862;GO:0060078;GO:0007165;GO:0051932
Q16653,Myelin oligodendrocyte glycoprotein,Brain,GO:0009897;GO:0005886;GO:0005102;GO:0001618;GO:0007155;GO:0007417;GO:0001817;GO:0050852
P28335,5-hydroxytryptamine receptor 2C,Brain,GO:0030425;GO:0098666;GO:0005886;GO:0045202;GO:0071886;GO:0004993;GO:0001587;GO:0042802;GO:0030594;GO:0051378;GO:0099589;GO:0001662;GO:0019934;GO:0007268;GO:0007631;GO:0007187;GO:0098664;GO:0006874;GO:0007626;GO:0007200;GO:0007208;GO:0050850;GO:0070374;GO:0045600;GO:0010513;GO:0032098;GO:0043397;GO:0031644;GO:0051209;GO:0007210
P01178,Oxytocin/neurophysin I prepropeptide,Brain,GO:0005576;GO:0005615;GO:0098992;GO:0030141;GO:0043195;GO:0005185;GO:0005184;GO:0031855;GO:0031894;GO:0042756;GO:0042755;GO:0007565;GO:0007625;GO:0007507;GO:0060179;GO:0002125;GO:0042711;GO:0007613;GO:0045776;GO:0035811;GO:0045777;GO:0120162;GO:0007204;GO:0045925;GO:0060450;GO:0010701;GO:0045778;GO:0060406;GO:0032308;GO:0051965;GO:0050806;GO:0070474;GO:0002027;GO:0014823;GO:0001975;GO:0051591;GO:0042220;GO:0051602;GO:0032355;GO:0045472;GO:0032094;GO:0051384;GO:0043434;GO:0032570;GO:0034695;GO:0032526;GO:0009744;GO:0007165;GO:0035176;GO:0042713
P11487,Fibroblast growth factor 3,Brain,GO:0005737;GO:0005576;GO:0005615;GO:0005104;GO:0008083;GO:0009653;GO:0007267;GO:0008543;GO:0055026;GO:0022008;GO:0051781;GO:0008284;GO:0043410;GO:0030334;GO:0007165
