Uniprot,Gene description,Organ,GO
Q01449,Myosin light chain 7,Heart,GO:0031672;GO:0005737;GO:0005829;GO:0043197;GO:0030016;GO:0016459;GO:0005509;GO:0048738;GO:0060047
P01160,Natriuretic peptide A,Heart,GO:0042995;GO:0062023;GO:0005737;GO:0005576;GO:0005615;GO:0043204;GO:0032991;GO:0005179;GO:0051427;GO:0005184;GO:0071855;GO:0005102;GO:0003180;GO:0003161;GO:0014898;GO:0006182;GO:0019934;GO:0007565;GO:0043508;GO:0003085;GO:0007218;GO:0060452;GO:1902261;GO:0010460;GO:1903766;GO:0006457;GO:0007168;GO:0060372;GO:0008217;GO:1902514;GO:1901841;GO:0035994;GO:0036376;GO:0042311
P19429,"Troponin I3, cardiac type",Heart,GO:0097512;GO:1990584;GO:0005829;GO:0030017;GO:0005861;GO:0003779;GO:0051015;GO:0019855;GO:0048306;GO:0019904;GO:0019901;GO:0030172;GO:0031014;GO:0060048;GO:0060047;GO:0007507;GO:0006874;GO:0032780;GO:0010882;GO:0006940;GO:0001980;GO:0003009;GO:0001570;GO:0055010
Q14896,Myosin binding protein C3,Heart,GO:0031672;GO:0014705;GO:0097512;GO:0005829;GO:0031430;GO:0030017;GO:0005863;GO:0003779;GO:0001671;GO:0042802;GO:0046872;GO:0017022;GO:0032036;GO:0008307;GO:0031432;GO:0060048;GO:0007155;GO:0003007;GO:0032781;GO:0032971;GO:0006942;GO:0045214;GO:0055010
P16860,Natriuretic peptide B,Heart,GO:0005737;GO:0005576;GO:0005615;GO:0032991;GO:0008613;GO:0005179;GO:0051427;GO:0005102;GO:0097746;GO:0007589;GO:0003161;GO:0007166;GO:0006182;GO:0019934;GO:0016525;GO:0030308;GO:0003085;GO:0007218;GO:0035815;GO:0035810;GO:0006457;GO:0007168;GO:0008217;GO:0043114;GO:0042311
P45379,"Troponin T2, cardiac type",Heart,GO:0097512;GO:1990584;GO:0005829;GO:0030017;GO:0005865;GO:0005861;GO:0003779;GO:0042802;GO:0005523;GO:0030172;GO:0031013;GO:0060048;GO:0030049;GO:0032780;GO:0032781;GO:0008016;GO:0006937;GO:0051592;GO:0045214;GO:0055010
Q9NPI5,Nicotinamide riboside kinase 2,Heart,GO:0005737;GO:0005829;GO:0043231;GO:0005654;GO:0005886;GO:0005524;GO:0046872;GO:0034317;GO:0050262;GO:0061769;GO:0009435;GO:0019674;GO:0045662
Q9UH90,F-box protein 40,Heart,GO:0005737;GO:0005829;GO:0061630;GO:0008270;GO:0042692
P12883,Myosin heavy chain 7,Heart,GO:0005737;GO:0005859;GO:0030016;GO:0016459;GO:0032982;GO:0016460;GO:0030017;GO:0001725;GO:0030018;GO:0051015;GO:0005524;GO:0005516;GO:0000146;GO:0007512;GO:0046034;GO:0060048;GO:0014898;GO:0006936;GO:0030049;GO:0002027;GO:0031449;GO:0002026;GO:0014728;GO:0045214;GO:0003009;GO:0006941;GO:0014883;GO:0055010
P10916,Myosin light chain 2,Heart,GO:0031672;GO:0097512;GO:0005737;GO:0005856;GO:0005829;GO:0030016;GO:0016459;GO:0030017;GO:0003785;GO:0005509;GO:0032036;GO:0008307;GO:0060048;GO:0055003;GO:0060047;GO:0007507;GO:0042694;GO:0030308;GO:0098735;GO:0006942;GO:0002026;GO:0055010
O95393,Bone morphogenetic protein 10,Heart,GO:0009986;GO:0005737;GO:0005576;GO:0005615;GO:0030018;GO:0005125;GO:0008083;GO:0005179;GO:0033612;GO:0031433;GO:0032924;GO:0007512;GO:0055009;GO:0030509;GO:0060038;GO:0007155;GO:0060347;GO:0001822;GO:0010614;GO:0030308;GO:0030336;GO:0010596;GO:0060045;GO:0010613;GO:0061036;GO:2000138;GO:0045893;GO:0010628;GO:0060298;GO:0060391;GO:0055117;GO:1903242;GO:0045214;GO:0055015;GO:0055010
A6NNS2,Dehydrogenase/reductase 7C,Heart,GO:0014801;GO:0033017;GO:0004745;GO:0016616;GO:0046323;GO:0006874;GO:0010880
Q16821,Protein phosphatase 1 regulatory subunit 3A,Heart,GO:0016020;GO:0000164;GO:2001069;GO:0008157;GO:0005977;GO:0005979
Q9GZV1,Ankyrin repeat domain 2,Heart,GO:0005829;GO:0000791;GO:0031674;GO:0043231;GO:0005634;GO:0016605;GO:0043422;GO:0061629;GO:0008307;GO:0006936;GO:0007517;GO:0045662;GO:0000122;GO:0006357
Q8IWX7,Unc-45 myosin chaperone B,Heart,GO:0031672;GO:0005737;GO:0005829;GO:0048471;GO:0030018;GO:0051879;GO:0030154;GO:0061077;GO:0002088;GO:0007517
Q5BKY1,Leucine rich repeat containing 10,Heart,GO:0005856;GO:0005739;GO:0005634;GO:0030017;GO:0003779;GO:0051393;GO:0055013
P13533,Myosin heavy chain 6,Heart,GO:0005737;GO:0005829;GO:0005859;GO:0030016;GO:0016459;GO:0032982;GO:0016460;GO:0030017;GO:0001725;GO:0030018;GO:0051015;GO:0005524;GO:0005516;GO:0000146;GO:0017018;GO:0019901;GO:0007512;GO:0046034;GO:0055009;GO:0055013;GO:0060048;GO:0014898;GO:0001701;GO:0006936;GO:0030049;GO:0030239;GO:0008217;GO:0008016;GO:0060420;GO:0002027;GO:0002026;GO:0045214;GO:0006941;GO:0055010;GO:0007522
Q5SV97,"PPARGC1 and ESRR induced regulator, muscle 1",Heart,GO:0005737;GO:0005634;GO:0006355;GO:0014850
P23327,Histidine rich calcium binding protein,Heart,GO:0005788;GO:0033018;GO:0033017;GO:0030018;GO:0051117;GO:0005509;GO:0044325;GO:0006936;GO:0045823;GO:0010460;GO:1901899;GO:1903169;GO:0010881;GO:1901844;GO:0051480;GO:0002027;GO:0033135;GO:0010880;GO:0060314
