Uniprot,Gene description,Organ,GO
Q08AH3,Acyl-CoA synthetase medium chain family member 2A,Kidney,GO:0005759;GO:0005739;GO:0005524;GO:0018858;GO:0102391;GO:0015645;GO:0004321;GO:0031956;GO:0046872;GO:0006637;GO:0006633;GO:0042593;GO:0036112;GO:0070328
Q13621,Solute carrier family 12 member 1,Kidney,GO:0016324;GO:0070062;GO:0016020;GO:0005886;GO:0008511;GO:0006884;GO:0055064;GO:1902476;GO:0034220;GO:0006811;GO:0055075;GO:1990573;GO:0055078;GO:0035725
Q8WUU8,Transmembrane protein 174,Kidney,GO:0016324;GO:0005789;GO:0055062
P07911,Uromodulin,Kidney,GO:0016324;GO:0016323;GO:0009986;GO:0060170;GO:0005929;GO:0005783;GO:0070062;GO:0005615;GO:0019898;GO:0005796;GO:0016020;GO:0098552;GO:0000922;GO:0005509;GO:0019864;GO:0140367;GO:0097190;GO:0006914;GO:0006968;GO:0034620;GO:0061077;GO:0046720;GO:0072044;GO:0097709;GO:0050829;GO:0007029;GO:0036503;GO:0003094;GO:0007157;GO:0006954;GO:0006874;GO:0030644;GO:0030643;GO:0006883;GO:0072051;GO:0007159;GO:0006629;GO:0072218;GO:0072221;GO:0072233;GO:0060073;GO:0033555;GO:0008285;GO:1990266;GO:0002251;GO:0055075;GO:0072665;GO:0044861;GO:0008217;GO:0051223;GO:0035809;GO:0070294;GO:0097744;GO:0003091;GO:0032496;GO:0009414;GO:0009410;GO:0008380;GO:0033209;GO:0015747;GO:0071918
O60656,UDP glucuronosyltransferase family 1 member A9,Kidney,GO:0005783;GO:0005789;GO:0019899;GO:0004857;GO:0015020;GO:0042802;GO:0046982;GO:0042803;GO:0001972;GO:0052695;GO:0051552;GO:0052696;GO:0001889;GO:2001030;GO:0045922;GO:0042573;GO:0052697;GO:0006805
Q02928,Cytochrome P450 family 4 subfamily A member 11,Kidney,GO:0016324;GO:0005737;GO:0005789;GO:0043231;GO:0018685;GO:0008392;GO:0008391;GO:0052869;GO:0020037;GO:0005506;GO:0050051;GO:0102033;GO:0004497;GO:0019369;GO:0019373;GO:0006631;GO:0046456;GO:0001822;GO:0048252;GO:0006691;GO:0043651;GO:0001676;GO:0097267;GO:0031408;GO:0032305;GO:0003095;GO:0003091;GO:0055078
Q68CK6,Acyl-CoA synthetase medium chain family member 2B,Kidney,GO:0005759;GO:0005739;GO:0005524;GO:0018858;GO:0016405;GO:0102391;GO:0015645;GO:0004321;GO:0046872;GO:0006637;GO:0006633;GO:0006805
Q8TCU3,Solute carrier family 7 member 13,Kidney,GO:0016324;GO:0015297;GO:0015179;GO:0046982;GO:0003333;GO:0015810;GO:0015811;GO:0015813
Q96S37,Solute carrier family 22 member 12,Kidney,GO:0016324;GO:0031526;GO:0070062;GO:0016020;GO:0005886;GO:0030165;GO:0015143;GO:0019725;GO:0032869;GO:0006811;GO:0015711;GO:0097744;GO:0009410;GO:0046415;GO:0015747
Q8TCC7,Solute carrier family 22 member 8,Kidney,GO:0016324;GO:0016323;GO:0070062;GO:0005886;GO:0008514;GO:0015132;GO:0005452;GO:0042910;GO:0006811;GO:0015732;GO:0009636;GO:0150104
Q9NP85,"NPHS2 stomatin family member, podocin",Kidney,GO:0005911;GO:0009898;GO:0005783;GO:0070062;GO:0045121;GO:0005886;GO:0032991;GO:0036057;GO:0030036;GO:0010467;GO:0003094;GO:0072249
P55017,Solute carrier family 12 member 3,Kidney,GO:0016324;GO:0005829;GO:0070062;GO:0016020;GO:0005886;GO:0005524;GO:0015378;GO:0008511;GO:0006884;GO:0055064;GO:1902476;GO:0006811;GO:0055075;GO:1990573;GO:0070294;GO:1904044;GO:0002021;GO:0007165;GO:0055078;GO:0035725;GO:0006814
Q6UWW9,Transmembrane protein 207,Kidney,GO:0016020
P41181,Aquaporin 2,Kidney,GO:0016324;GO:0016323;GO:0070062;GO:0005794;GO:0098576;GO:0016020;GO:0048471;GO:0005886;GO:0055037;GO:0030658;GO:0015168;GO:0015250;GO:0005372;GO:0007015;GO:0071280;GO:0071288;GO:0042631;GO:0015793;GO:0072205;GO:0051289;GO:0003091;GO:0003097;GO:0006833
Q93088,Betaine--homocysteine S-methyltransferase,Kidney,GO:0005829;GO:0070062;GO:0005634;GO:0047150;GO:0008270;GO:0071266;GO:0006579;GO:0006577;GO:0071267;GO:0006479;GO:0050666
O15244,Solute carrier family 22 member 2,Kidney,GO:0016324;GO:0009925;GO:0016323;GO:0070062;GO:0016020;GO:0005886;GO:0098793;GO:0005277;GO:0005275;GO:0015220;GO:0015562;GO:0015179;GO:0061459;GO:0008504;GO:0005326;GO:0008514;GO:0015101;GO:0015132;GO:0015489;GO:0015214;GO:0015651;GO:0015606;GO:0015234;GO:0019534;GO:0042910;GO:0015870;GO:0015837;GO:0089718;GO:0007589;GO:1990748;GO:0015871;GO:0015872;GO:0090494;GO:0048241;GO:0140115;GO:0051608;GO:0051615;GO:1902475;GO:0097638;GO:0006812;GO:0006836;GO:0015874;GO:0051620;GO:0015695;GO:0015732;GO:0072530;GO:0015847;GO:0006837;GO:0051610;GO:0015848;GO:0071934;GO:0150104;GO:0042908;GO:1990962
Q96N87,Solute carrier family 6 member 18,Kidney,GO:0016324;GO:0031526;GO:0005886;GO:0015171;GO:0140931;GO:0006865;GO:0006836;GO:0015804;GO:1990297;GO:0035725
P59942,Mitochondrial coiled-coil domain 1,Kidney,GO:0005739
Q9NSA0,Solute carrier family 22 member 11,Kidney,GO:0016324;GO:0009925;GO:0009897;GO:0070062;GO:0005886;GO:0008514;GO:0015132;GO:0015347;GO:0005452;GO:0006811;GO:0015711;GO:0015732;GO:0046415
Q495M3,Solute carrier family 36 member 2,Kidney,GO:0005789;GO:0070062;GO:0005886;GO:0055038;GO:0005774;GO:0015171;GO:0005280;GO:0015187;GO:0015180;GO:0015193;GO:0005297;GO:0006865;GO:0015816;GO:0015808;GO:0006811;GO:0035524;GO:0015824;GO:1902600
Q06495,Solute carrier family 34 member 1,Kidney,GO:0016324;GO:0005903;GO:0031526;GO:0009986;GO:0005829;GO:0005768;GO:0072686;GO:0016607;GO:0005654;GO:0048471;GO:0005886;GO:0031982;GO:0042802;GO:0030165;GO:0044877;GO:0005436;GO:1901684;GO:0071248;GO:0071374;GO:0016036;GO:0072734;GO:0097187;GO:1901128;GO:0009100;GO:0042431;GO:0030643;GO:0001822;GO:0001503;GO:0055062;GO:0035435;GO:0006817;GO:0045838;GO:2000187;GO:2000120;GO:0046686;GO:0032355;GO:0060416;GO:0010288;GO:0032026;GO:0046689;GO:1901652;GO:0035864;GO:0097066;GO:0033189;GO:0009410;GO:0098719;GO:0044341;GO:0072350
P05062,"Aldolase, fructose-bisphosphate B",Kidney,GO:0034451;GO:0005829;GO:0070062;GO:0005815;GO:0051117;GO:0008092;GO:0070061;GO:0061609;GO:0004332;GO:0042802;GO:0060090;GO:0030388;GO:0061624;GO:0006000;GO:0006094;GO:0006096;GO:0006116;GO:1905856;GO:0032781;GO:0070072
Q14916,Solute carrier family 17 member 1,Kidney,GO:0016324;GO:0016020;GO:0005886;GO:0005436;GO:0022857;GO:0006820;GO:0006811;GO:0035435;GO:0006817;GO:0044341;GO:0046415;GO:0015747
Q96Q91,Solute carrier family 4 member 9,Kidney,GO:0045177;GO:0016323;GO:0005886;GO:0140900;GO:0140892;GO:0008510;GO:0015701;GO:0051453;GO:0046541;GO:0035725;GO:0055085
Q9UGB7,Myo-inositol oxygenase,Kidney,GO:0005737;GO:0005829;GO:0016234;GO:0004033;GO:0008199;GO:0050113;GO:0016651;GO:0019310
Q9BYV1,Alanine--glyoxylate aminotransferase 2,Kidney,GO:0005759;GO:0005739;GO:0047305;GO:0008453;GO:0016223;GO:0030170;GO:0019265;GO:0009436;GO:0019481;GO:2001299;GO:0045429
Q9Y226,Solute carrier family 22 member 13,Kidney,GO:0016324;GO:0005783;GO:0070062;GO:0005794;GO:0005886;GO:0090416;GO:0015143;GO:0034356;GO:0045922;GO:2001142;GO:0002854;GO:0015747
P48048,Potassium inwardly rectifying channel subfamily J member 1,Kidney,GO:0034702;GO:0005886;GO:0005524;GO:0015272;GO:0005242;GO:0005546;GO:0005267;GO:1990573;GO:0034765
P49895,Iodothyronine deiodinase 1,Kidney,GO:0005789;GO:0005886;GO:0008430;GO:0004800;GO:0006520;GO:0042446;GO:0006590;GO:0042403
P59646,FXYD domain containing ion transport regulator 4,Kidney,GO:0016323;GO:0005886;GO:0005890;GO:0005267;GO:0017080;GO:1903278;GO:0006814
Q14117,Dihydropyrimidinase,Kidney,GO:0005829;GO:0070062;GO:0004157;GO:0042802;GO:0051219;GO:0008270;GO:0006248;GO:0006249;GO:0046079;GO:0006208;GO:0006210;GO:0046050;GO:0006212
Q695T7,Solute carrier family 6 member 19,Kidney,GO:0016324;GO:0031526;GO:0070062;GO:0005886;GO:0015171;GO:0015175;GO:0015293;GO:0006865;GO:0015804;GO:0007584;GO:0035725;GO:0019058
Q9UF12,Proline dehydrogenase 2,Kidney,GO:0005743;GO:0005739;GO:0071949;GO:0016645;GO:0004657;GO:0006562;GO:0010133
Q4U2R8,Solute carrier family 22 member 6,Kidney,GO:0009925;GO:0016323;GO:0005901;GO:0070062;GO:0005886;GO:0032991;GO:0015139;GO:0015297;GO:0031404;GO:0042802;GO:0008514;GO:0015132;GO:0015347;GO:0005452;GO:0022857;GO:0042910;GO:0015742;GO:0072237;GO:0006820;GO:0015711;GO:0015732;GO:0097254;GO:0014070;GO:0043252
Q6ZMH5,Solute carrier family 39 member 5,Kidney,GO:0016323;GO:0070062;GO:0005886;GO:0140410;GO:0005385;GO:0030509;GO:0034224;GO:0001654;GO:0070315;GO:0030003;GO:0061351;GO:0048026;GO:0071578;GO:0071577;GO:0006829
Q969I3,Glycine-N-acyltransferase like 1,Kidney,GO:0005739;GO:0047946;GO:0047961;GO:0006541
Q96LB4,ATPase H+ transporting V1 subunit G3,Kidney,GO:0005829;GO:0005886;GO:0030672;GO:0000221;GO:0016887;GO:0051117;GO:0046961;GO:0097401
O95500,Claudin 14,Kidney,GO:0005923;GO:0005783;GO:0005886;GO:0042802;GO:0005198;GO:0070830;GO:0016338;GO:0007155;GO:0065003
Q9H2A2,Aldehyde dehydrogenase 8 family member A1,Kidney,GO:0005829;GO:0070062;GO:0047102;GO:0001758;GO:0042904;GO:0097053;GO:0042574;GO:0042573
P48742,LIM homeobox 1,Kidney,GO:0000785;GO:0005634;GO:0032991;GO:0005667;GO:0000987;GO:0003700;GO:0000981;GO:0000977;GO:1990837;GO:0008270;GO:0048646;GO:0009653;GO:0009887;GO:0009948;GO:0009952;GO:0001658;GO:0007267;GO:0044344;GO:0021702;GO:0021937;GO:0021549;GO:0060067;GO:0072049;GO:0097379;GO:0009953;GO:0001705;GO:0009880;GO:0060059;GO:0048703;GO:0001706;GO:0060429;GO:0021871;GO:0001702;GO:0060322;GO:0001822;GO:0097477;GO:0048382;GO:0072177;GO:0072278;GO:0072224;GO:0035502;GO:0072283;GO:0072284;GO:0008045;GO:0045892;GO:0035849;GO:0072178;GO:0007399;GO:0030182;GO:0060066;GO:0035846;GO:0061205;GO:0007389;GO:2000744;GO:0090190;GO:0045893;GO:0040019;GO:2000543;GO:2000768;GO:0009791;GO:0090009;GO:0048793;GO:0010468;GO:0006357;GO:0072077;GO:0010842;GO:0072050;GO:0032525;GO:0021527;GO:0021537;GO:0006366;GO:0072197;GO:0001657;GO:0001655;GO:0035847;GO:0060065;GO:0060068;GO:0021517
