Uniprot,Gene description,Organ,GO
Q9NQT6,Fascin actin-bundling protein 3,Testis,GO:0015629;GO:0031253;GO:0005737;GO:0005856;GO:0030175;GO:0030426;GO:0030027;GO:0005902;GO:0001726;GO:0051015;GO:0030674;GO:0051017;GO:0016477;GO:0007163
P02671,Fibrinogen alpha chain,Liver,GO:0072562;GO:0009986;GO:0062023;GO:0005783;GO:0005788;GO:0009897;GO:0070062;GO:0005576;GO:0005615;GO:1903561;GO:0005577;GO:0005886;GO:0031091;GO:0031093;GO:0005201;GO:0046872;GO:0030674;GO:0005102;GO:0005198;GO:0002250;GO:0072377;GO:0072378;GO:0007160;GO:0042730;GO:0043152;GO:0045087;GO:2000352;GO:1902042;GO:0031639;GO:0070527;GO:0070374;GO:0045921;GO:0034116;GO:0090277;GO:0050714;GO:1900026;GO:0045907;GO:0051258;GO:0065003;GO:0051592
Q6P047,Chromosome 8 open reading frame 74,Testis,
Q9BXA5,Succinate receptor 1,Kidney,GO:0070062;GO:0005886;GO:0004930;GO:0038023;GO:0097009;GO:0007186;GO:0042593;GO:0002281;GO:0050921;GO:0050729;GO:0060177;GO:0002001;GO:0051592
Q2TBF2,WSC domain containing 2,Brain,GO:0000139;GO:0008146
Q3SXM0,DDB1 and CUL4 associated factor 4 like 1,Testis,GO:0080008
Q6NXR0,Immunity related GTPase cinema,Testis,GO:0005811;GO:0016020;GO:0036126;GO:0097226;GO:0005525;GO:0003924;GO:1990606;GO:1902093
Q8NEL0,Coiled-coil domain containing 54,Testis,
P50549,ETS variant transcription factor 1,Brain,GO:0000785;GO:0005634;GO:0001228;GO:0003700;GO:0000981;GO:0000978;GO:1990837;GO:0007411;GO:0007638;GO:0007517;GO:0048935;GO:0045944;GO:0006357;GO:0006366
Q9HBI5,Chromosome 3 open reading frame 14,Brain,GO:0005929
O94933,SLIT and NTRK like family member 3,Liver,GO:0009986;GO:0098982;GO:0005886;GO:0098839;GO:0099634;GO:0007409;GO:0097116;GO:0072578;GO:0051965;GO:1905606;GO:0099560;GO:0051932;GO:0072553
Q86UU5,Gametogenetin,Testis,GO:0031625;GO:0030154;GO:0006302;GO:0007276;GO:0007283
Q6IMI4,Sulfotransferase family 6B member 1,Testis,GO:0005737;GO:0005829;GO:0008146;GO:0051923
P02753,Retinol binding protein 4,Liver,GO:0070062;GO:0005576;GO:0005615;GO:0016918;GO:0019841;GO:0034632;GO:0048738;GO:0048562;GO:0060059;GO:0048706;GO:0001654;GO:0048807;GO:0006094;GO:0042593;GO:0007507;GO:0060347;GO:0030324;GO:0030277;GO:0060044;GO:0002639;GO:0032024;GO:0032526;GO:0042572;GO:0034633;GO:0060157;GO:0060065;GO:0060068;GO:0007601
Q9Y462,Zinc finger protein 711,Testis,GO:0000785;GO:0005634;GO:0000981;GO:0046872;GO:0000978;GO:0043565;GO:0045893;GO:0045944;GO:0010468;GO:0006357
C9J069,Apical junction component 1 homolog,Brain,GO:0005912;GO:0043296;GO:0016324;GO:0005929;GO:0005886;GO:0045216
Q14549,Gastrulation brain homeobox 1,Testis,GO:0000785;GO:0005634;GO:0000981;GO:0000977;GO:0007628;GO:0048663;GO:0019230;GO:0051960;GO:0006357;GO:0097374;GO:0021522
