Uniprot,GO
Q8NE22,GO:0005739;GO:0005654;GO:0016278;GO:0032259;GO:1901796
Q01638,GO:0009986;GO:0005829;GO:0009897;GO:0005576;GO:0005925;GO:0005886;GO:0004896;GO:0004908;GO:0002113;GO:0002114;GO:0003953;GO:0061809;GO:0006955;GO:0006954;GO:0038172;GO:0030225;GO:0002826;GO:0032689;GO:0032722;GO:0050729;GO:0032754;GO:0043032;GO:0007165
Q8N0Y3,GO:0005886;GO:0004930;GO:0004984
Q6ICG8,GO:0005634;GO:0033011;GO:0036126;GO:0061827;GO:0031490;GO:0003713;GO:0050699;GO:0007343;GO:0035039;GO:0051321;GO:0045893
Q9UH90,GO:0005737;GO:0005829;GO:0061630;GO:0008270;GO:0042692
P63316,GO:1990584;GO:0005829;GO:0005861;GO:0051015;GO:0005509;GO:0048306;GO:0042803;GO:0031013;GO:0031014;GO:0060048;GO:0002086;GO:0043462;GO:0006937;GO:0032972;GO:0010038;GO:0003009;GO:0014883;GO:0055010
Q6P444,GO:0005739;GO:0009060;GO:0000266;GO:0007005
Q8WW32,GO:0005694;GO:0005634;GO:0008301;GO:0006357
Q12860,GO:0030424;GO:0070062;GO:0098978;GO:0016020;GO:0005886;GO:0045211;GO:0042734;GO:0098552;GO:0030246;GO:0098632;GO:0007411;GO:0007420;GO:0007155;GO:0098609;GO:0032289;GO:0021549;GO:0010467;GO:0007626;GO:0007219;GO:0010628;GO:0010976;GO:0010765
P42262,GO:0032281;GO:0032279;GO:0030425;GO:0043197;GO:0030666;GO:0060076;GO:0009897;GO:0043025;GO:0005886;GO:0098794;GO:0014069;GO:0098839;GO:0098843;GO:0004971;GO:0001540;GO:0004970;GO:0099094;GO:1904315;GO:0007268;GO:0035235;GO:0050804;GO:0007165;GO:0035249
P04732,GO:0005737;GO:0005634;GO:0046872;GO:0008270;GO:0071276;GO:0071280;GO:0071294;GO:0010273;GO:0006882;GO:0045926
Q9NRJ5,GO:0005783;GO:0005634;GO:0005524;GO:0046872;GO:1990817;GO:0003723;GO:0006397;GO:0031123
Q6PCE3,GO:0005829;GO:0047933;GO:0016868;GO:0046872;GO:0006006
Q01449,GO:0031672;GO:0005737;GO:0005829;GO:0043197;GO:0030016;GO:0016459;GO:0005509;GO:0048738;GO:0060047
Q8NCR9,GO:0070062;GO:0016020;GO:0007605
P57789,GO:0034702;GO:0005886;GO:0098782;GO:0015271;GO:0005267;GO:0022841;GO:1904551;GO:0007613;GO:0071805;GO:0007165
Q96L15,GO:0005576;GO:0003950;GO:0106274;GO:0016779
X6R8D5,
Q8IXP5,GO:0005829;GO:0005634;GO:0070974;GO:0043565;GO:0003713
Q8WW18,
Q02833,GO:0034451;GO:0005737;GO:0006915;GO:0007165
P39877,GO:0032009;GO:0005576;GO:0005794;GO:0032010;GO:0005886;GO:0055037;GO:0005509;GO:0047498;GO:0047499;GO:0005543;GO:0050482;GO:0035965;GO:0006631;GO:0019370;GO:0034374;GO:0042130;GO:0090385;GO:0034638;GO:0046470;GO:0046471;GO:0006644;GO:1905036;GO:0070374;GO:0090265;GO:0010744;GO:1903028;GO:0050766;GO:1905164;GO:0010518
Q03154,GO:0005829;GO:0070062;GO:0004046;GO:0042802;GO:0046872;GO:0006520
Q49AJ0,
Q92820,GO:0035578;GO:0070062;GO:0005576;GO:0005615;GO:0042470;GO:0005634;GO:0035580;GO:1904724;GO:0005773;GO:0008238;GO:0034722;GO:0008242;GO:0046900
A2RU67,GO:0005794;GO:0016020;GO:0005815
Q9Y2D1,GO:0005813;GO:0000785;GO:0005829;GO:0005654;GO:0005634;GO:0090575;GO:0003682;GO:0001228;GO:0003700;GO:0000981;GO:0019900;GO:0000977;GO:0043565;GO:0000976;GO:0015631;GO:0021930;GO:0007623;GO:0045444;GO:0035264;GO:0043066;GO:1902750;GO:0008285;GO:0045892;GO:0021891;GO:0045893;GO:0045944;GO:0009791;GO:0046605;GO:0006355;GO:0006357
Q96DD0,GO:0031430;GO:0035556
Q92556,GO:0005737;GO:0005829;GO:0098978;GO:0032045;GO:0016020;GO:0005886;GO:0098794;GO:0017124;GO:0030036;GO:0007015;GO:0006915;GO:0048870;GO:0006911;GO:0016601;GO:0150052
Q8WU66,GO:0009986;GO:0060170;GO:0005576;GO:0032420;GO:0022405;GO:0007219;GO:0008593;GO:0007605;GO:0007165;GO:0034505
P16455,GO:0016020;GO:0005654;GO:0005634;GO:0003677;GO:0009008;GO:0046872;GO:0003908;GO:0008168;GO:0006307;GO:0006266;GO:0006281;GO:0032259;GO:0043066;GO:2000781
Q96SE0,GO:0016020;GO:0008126;GO:0047372;GO:0051792;GO:0051793
Q6ZNQ3,GO:0035556
